ID	pwm_atg	pwm_ctg	pwm_gtg	pwm_ttg
ENSP00000222308		0	0	1	0
ENSP00000413929		0	0	0	1
ENSP00000366466		0	0	0	0
ENSP00000310686		1	0	0	0
ENSP00000261326		1	1	0	1
ENSP00000362308		0	0	0	0
ENSP00000284719		0	0	1	0
ENSP00000309117		0	0	0	1
ENSP00000225729		0	0	0	0
ENSP00000264424		0	0	0	0
ENSP00000216294		1	1	0	0
ENSP00000426638		0	0	1	0
ENSP00000228843		1	0	0	0
ENSP00000359609		0	0	1	0
ENSP00000331983		1	0	0	0
ENSP00000262067		0	0	1	1
ENSP00000362018		0	1	1	0
ENSP00000418287		0	0	0	1
ENSP00000386264		1	1	1	1
ENSP00000343635		1	0	0	1
ENSP00000359050		0	0	1	0
ENSP00000320251		1	1	1	0
ENSP00000320869		1	1	0	0
ENSP00000332296		0	1	1	0
ENSP00000349824		1	1	1	1
ENSP00000336607		1	0	0	0
ENSP00000343081		1	1	1	1
ENSP00000275603		0	1	0	0
ENSP00000350686		1	0	0	1
ENSP00000373952		1	0	0	0
ENSP00000264709		0	1	1	0
ENSP00000360475		0	0	0	0
ENSP00000272102		0	1	0	0
ENSP00000295025		1	1	1	1
ENSP00000238892		0	0	0	1
ENSP00000362727		1	0	0	0
ENSP00000302530		1	1	0	0
ENSP00000347649		0	0	0	0
ENSP00000317144		0	0	1	1
ENSP00000261900		0	1	1	0
ENSP00000230050		0	0	0	0
ENSP00000359345		0	0	0	0
ENSP00000234038		1	1	0	1
ENSP00000323879		0	1	0	0
ENSP00000355536		1	1	1	1
ENSP00000258772		1	0	0	0
ENSP00000325612		1	0	0	1
ENSP00000253329		1	0	0	0
ENSP00000363603		1	0	0	0
ENSP00000371345		0	1	1	1
ENSP00000267890		1	1	1	1
ENSP00000362352		0	0	1	0
ENSP00000351777		1	0	0	1
ENSP00000345193		1	1	1	0
ENSP00000338862		0	1	0	0
ENSP00000331127		0	0	0	0
ENSP00000358262		0	0	1	1
ENSP00000326804		0	0	0	0
ENSP00000404381		1	1	1	1
ENSP00000316543		1	1	1	1
ENSP00000376110		0	0	0	1
ENSP00000253247		0	1	0	0
ENSP00000363763		1	0	0	1
ENSP00000304364		0	0	0	0
ENSP00000351536		1	1	1	1
ENSP00000378323		0	1	1	0
ENSP00000356405		1	0	0	1
ENSP00000255476		0	0	0	1
ENSP00000366225		0	1	1	1
ENSP00000373730		0	0	0	0
ENSP00000399518		1	1	1	1
ENSP00000368645		0	0	0	0
ENSP00000402634		0	1	1	0
ENSP00000351894		1	1	1	1
ENSP00000298159		1	1	1	0
ENSP00000347858		1	1	1	1
ENSP00000215587		0	0	0	0
ENSP00000386461		1	1	1	0
ENSP00000263629		0	0	0	1
ENSP00000011619		0	0	1	0
ENSP00000221486		0	0	0	0
ENSP00000308275		0	1	0	0
ENSP00000363189		1	0	0	0
ENSP00000261708		1	1	1	0
ENSP00000223190		1	0	1	1
ENSP00000229319		1	0	0	0
ENSP00000307298		0	1	1	1
ENSP00000357306		1	1	1	1
ENSP00000302783		0	0	0	0
ENSP00000397947		1	1	0	0
ENSP00000315118		0	0	1	0
ENSP00000408910		1	0	0	0
ENSP00000403396		1	1	1	1
ENSP00000247668		0	0	0	1
ENSP00000265838		1	1	0	1
ENSP00000275493		1	0	1	1
ENSP00000451320		0	0	0	0
ENSP00000410626		1	0	0	0
ENSP00000360296		1	1	0	0
ENSP00000336842		0	1	0	1
ENSP00000229330		1	1	0	1
ENSP00000346453		1	0	1	0
ENSP00000355924		1	0	1	0
ENSP00000304669		1	1	0	1
ENSP00000326381		0	0	0	0
ENSP00000362335		1	0	1	1
ENSP00000386896		1	1	1	1
ENSP00000393559		1	1	0	1
ENSP00000379364		0	1	1	1
ENSP00000383155		0	0	0	0
ENSP00000357622		1	0	0	0
ENSP00000342262		0	0	1	1
ENSP00000296102		0	0	0	0
ENSP00000355299		0	0	0	1
ENSP00000350509		1	1	1	1
ENSP00000404833		0	0	0	1
ENSP00000382177		1	1	1	1
ENSP00000367756		0	0	0	1
ENSP00000352167		1	0	0	0
ENSP00000347277		1	0	0	0
ENSP00000315568		0	1	1	1
ENSP00000358478		0	1	1	1
ENSP00000374185		0	0	0	0
ENSP00000264930		1	0	1	0
ENSP00000354361		0	0	1	1
ENSP00000318986		1	1	1	0
ENSP00000282903		1	1	1	0
ENSP00000242351		1	1	1	1
ENSP00000417864		0	1	0	1
ENSP00000303058		1	1	1	0
ENSP00000231498		1	1	1	1
ENSP00000285518		0	1	0	1
ENSP00000222002		0	0	1	0
ENSP00000339845		0	1	1	0
ENSP00000287600		1	0	0	1
ENSP00000374529		0	0	1	1
ENSP00000324463		0	1	0	0
ENSP00000377700		0	1	0	1
ENSP00000296679		0	0	0	1
ENSP00000393776		1	1	1	1
ENSP00000312318		1	0	0	0
ENSP00000332887		1	0	0	1
ENSP00000286122		0	0	0	0
ENSP00000281038		1	0	1	0
ENSP00000322570		0	0	1	0
ENSP00000230419		0	0	1	0
ENSP00000252971		1	1	1	0
ENSP00000255764		1	0	0	0
ENSP00000276185		1	0	0	0
ENSP00000316176		0	1	1	1
ENSP00000268182		0	1	1	1
ENSP00000358674		0	0	0	0
ENSP00000353518		0	1	1	1
ENSP00000216122		0	0	0	0
ENSP00000303997		0	1	0	1
ENSP00000296786		0	0	1	0
ENSP00000265565		0	0	1	0
ENSP00000240285		0	0	1	1
ENSP00000397394		0	0	0	0
ENSP00000263657		1	0	0	0
ENSP00000365908		1	0	1	0
ENSP00000290810		1	0	0	0
ENSP00000385636		1	0	0	0
ENSP00000309474		1	1	0	0
ENSP00000393840		1	1	1	0
ENSP00000276052		1	1	0	1
ENSP00000262962		0	0	0	0
ENSP00000264436		1	1	0	1
ENSP00000378733		0	1	1	1
ENSP00000360252		0	0	0	1
ENSP00000355556		0	1	0	0
ENSP00000286067		0	1	0	0
ENSP00000419471		0	0	0	1
ENSP00000336927		0	0	0	0
ENSP00000434614		0	1	1	1
ENSP00000351832		1	1	0	0
ENSP00000257347		0	0	0	0
ENSP00000228510		0	0	0	1
ENSP00000364847		0	0	0	1
ENSP00000301281		1	0	0	0
ENSP00000369695		0	1	1	1
ENSP00000370372		1	1	1	1
ENSP00000260731		0	1	1	1
ENSP00000302160		1	0	0	1
ENSP00000157600		1	1	1	1
ENSP00000326981		0	0	0	0
ENSP00000305769		1	0	0	0
ENSP00000322373		1	0	1	1
ENSP00000322887		1	1	1	1
ENSP00000349576		1	0	0	1
ENSP00000237642		0	0	0	0
ENSP00000318775		0	1	1	0
ENSP00000263620		1	0	1	1
ENSP00000263713		0	1	0	1
ENSP00000296674		0	1	1	1
ENSP00000403925		0	1	1	1
ENSP00000381237		0	0	1	0
ENSP00000330753		1	0	1	0
ENSP00000300870		1	0	0	0
ENSP00000323782		0	1	0	1
ENSP00000376148		0	0	1	0
ENSP00000287859		0	1	1	0
ENSP00000261845		1	1	1	1
ENSP00000347322		0	0	0	0
ENSP00000265036		0	0	1	1
ENSP00000296273		0	0	1	0
ENSP00000356602		1	1	0	1
ENSP00000407182		1	0	0	0
ENSP00000296597		0	0	0	0
ENSP00000262269		1	0	0	0
ENSP00000254605		1	1	0	1
ENSP00000264914		1	1	1	1
ENSP00000320567		0	0	1	0
ENSP00000353246		0	1	0	0
ENSP00000216190		1	0	0	0
ENSP00000268379		1	0	0	0
ENSP00000291634		0	0	0	0
ENSP00000355637		0	0	0	0
ENSP00000369391		0	0	0	0
ENSP00000314444		0	1	1	1
ENSP00000281142		0	0	1	0
ENSP00000317332		1	0	0	0
ENSP00000367220		0	0	0	1
ENSP00000340454		1	1	0	0
ENSP00000292616		0	0	0	1
ENSP00000429065		1	0	1	0
ENSP00000255784		0	0	0	0
ENSP00000349856		0	0	0	1
ENSP00000222584		1	1	1	1
ENSP00000270176		0	0	1	1
ENSP00000311977		0	0	0	0
ENSP00000363824		1	1	1	1
ENSP00000350012		1	1	1	1
ENSP00000253788		0	0	0	0
ENSP00000310668		0	0	0	0
ENSP00000262493		1	0	0	0
ENSP00000362058		0	0	0	0
ENSP00000465213		1	1	1	0
ENSP00000370288		0	0	0	0
ENSP00000368698		1	1	0	1
ENSP00000339881		1	1	0	1
ENSP00000244364		1	1	1	1
ENSP00000264663		1	0	1	1
ENSP00000362153		0	0	1	0
ENSP00000252602		0	0	0	0
ENSP00000368552		0	0	0	0
ENSP00000265174		0	1	1	1
ENSP00000184266		0	0	0	0
ENSP00000372290		1	1	1	0
ENSP00000282007		0	1	1	0
ENSP00000310491		0	1	0	1
ENSP00000359127		0	1	0	0
ENSP00000243501		0	1	1	1
ENSP00000240587		0	0	0	1
ENSP00000319254		0	0	0	0
ENSP00000363284		0	0	0	0
ENSP00000290101		0	0	0	1
ENSP00000265394		0	0	0	1
ENSP00000282841		1	1	1	1
ENSP00000265981		1	1	1	1
ENSP00000386076		0	0	0	1
ENSP00000261888		0	1	0	1
ENSP00000406229		1	1	0	1
ENSP00000374484		0	1	0	1
ENSP00000383866		0	0	0	1
ENSP00000357873		1	1	0	0
ENSP00000417602		1	0	0	0
ENSP00000395772		1	1	0	1
ENSP00000351497		1	0	0	0
ENSP00000345282		0	0	0	0
ENSP00000288022		1	1	0	0
ENSP00000350199		0	0	0	0
ENSP00000377617		1	1	1	0
ENSP00000219400		1	1	1	1
ENSP00000037869		1	1	1	0
ENSP00000300093		1	0	0	0
ENSP00000220913		1	0	0	0
ENSP00000359073		1	1	0	1
ENSP00000261721		0	1	0	0
ENSP00000320309		0	0	0	0
ENSP00000253237		1	0	1	1
ENSP00000251900		1	0	0	1
ENSP00000394757		1	0	1	0
ENSP00000351410		1	1	1	0
ENSP00000323300		1	0	1	0
ENSP00000318690		1	0	0	0
ENSP00000233336		0	1	1	1
ENSP00000367263		1	0	1	1
ENSP00000378736		1	1	0	1
ENSP00000307887		1	0	0	1
ENSP00000306670		0	0	1	1
ENSP00000216923		0	0	0	0
ENSP00000263062		1	0	1	0
ENSP00000321320		1	0	1	1
ENSP00000401018		0	0	0	1
ENSP00000313811		1	0	0	1
ENSP00000349078		0	0	0	1
ENSP00000314724		1	1	0	0
ENSP00000369915		0	0	1	1
ENSP00000348384		1	0	0	0
ENSP00000249776		1	0	0	1
ENSP00000233078		0	1	0	0
ENSP00000325146		1	1	1	1
ENSP00000306328		0	1	0	1
ENSP00000431179		0	1	1	1
ENSP00000348722		0	1	1	1
ENSP00000251871		0	0	1	1
ENSP00000234256		1	1	0	1
ENSP00000215956		0	0	1	0
ENSP00000374455		0	0	0	0
ENSP00000330694		0	0	0	0
ENSP00000397843		0	0	1	0
ENSP00000263574		0	1	0	0
ENSP00000370003		0	1	0	0
ENSP00000454657		0	1	1	1
ENSP00000377083		1	0	0	0
ENSP00000273075		1	1	0	0
ENSP00000263256		0	0	0	0
ENSP00000396308		1	0	1	0
ENSP00000310590		1	0	1	1
ENSP00000354518		1	1	0	1
ENSP00000341625		1	0	1	0
ENSP00000345206		0	1	1	1
ENSP00000319974		0	0	0	0
ENSP00000226578		1	1	1	0
ENSP00000357040		1	1	1	1
ENSP00000360473		1	0	0	0
ENSP00000404179		1	0	1	0
ENSP00000311888		1	0	1	0
ENSP00000374501		0	1	0	1
ENSP00000181796		0	0	0	0
ENSP00000359982		0	0	1	1
ENSP00000340969		1	1	1	0
ENSP00000345719		0	0	1	1
ENSP00000346103		0	0	0	0
ENSP00000336914		0	0	0	0
ENSP00000242591		1	1	1	0
ENSP00000357360		0	0	0	0
ENSP00000266025		1	1	0	1
ENSP00000402038		0	0	0	0
ENSP00000221856		1	0	0	0
ENSP00000307674		0	1	0	0
ENSP00000352678		0	0	1	1
ENSP00000261714		0	0	0	0
ENSP00000290541		0	0	0	1
ENSP00000338964		1	0	1	0
ENSP00000362688		0	0	0	0
ENSP00000282412		1	1	0	1
ENSP00000422591		1	0	1	0
ENSP00000389913		0	0	1	0
ENSP00000348784		1	0	0	0
ENSP00000402935		0	0	0	0
ENSP00000239891		0	0	0	0
ENSP00000242576		1	0	0	1
ENSP00000339404		0	1	1	1
ENSP00000374574		0	0	1	1
ENSP00000326003		1	0	0	0
ENSP00000349594		1	0	0	0
ENSP00000256460		0	0	0	0
ENSP00000384084		1	0	0	0
ENSP00000261205		0	0	1	0
ENSP00000229395		0	1	0	0
ENSP00000318147		0	1	0	0
ENSP00000304102		0	0	0	1
ENSP00000342087		0	0	0	0
ENSP00000334767		0	0	0	0
ENSP00000162044		0	0	0	0
ENSP00000302276		1	0	0	1
ENSP00000346560		0	1	0	0
ENSP00000259037		0	0	0	1
ENSP00000399985		0	1	0	0
ENSP00000339208		1	1	1	1
ENSP00000309432		0	0	1	1
ENSP00000362029		0	0	0	0
ENSP00000290942		1	0	0	0
ENSP00000327143		1	1	0	1
ENSP00000310520		0	0	1	1
ENSP00000295588		0	0	0	1
ENSP00000223459		1	0	0	0
ENSP00000369176		0	0	1	0
ENSP00000309262		0	1	0	1
ENSP00000363463		1	1	1	0
ENSP00000323889		1	1	1	0
ENSP00000296127		1	0	1	1
ENSP00000341680		0	0	0	0
ENSP00000359664		0	1	0	1
ENSP00000364320		0	0	0	1
ENSP00000222120		1	1	0	0
ENSP00000272995		0	0	0	0
ENSP00000365130		0	1	0	0
ENSP00000367440		0	0	0	0
ENSP00000262056		1	0	1	1
ENSP00000363779		1	1	1	1
ENSP00000370966		0	0	0	0
ENSP00000462945		0	0	0	0
ENSP00000354394		1	1	1	1
ENSP00000326052		0	0	0	0
ENSP00000380781		0	1	1	0
ENSP00000382779		1	1	1	0
ENSP00000289779		1	0	0	0
ENSP00000254770		0	0	1	0
ENSP00000411099		1	1	1	1
ENSP00000281243		0	1	1	1
ENSP00000346173		0	1	1	0
ENSP00000349877		1	0	1	0
ENSP00000357838		0	0	0	0
ENSP00000237264		0	0	1	1
ENSP00000340330		0	0	0	1
ENSP00000369217		1	1	1	1
ENSP00000253363		0	0	1	0
ENSP00000361672		0	0	0	0
ENSP00000287675		0	1	1	0
ENSP00000340297		1	0	1	0
ENSP00000033079		0	0	1	0
ENSP00000376421		0	1	1	0
ENSP00000451998		1	1	1	0
ENSP00000315386		0	0	1	0
ENSP00000360183		1	1	0	0
ENSP00000414851		0	0	0	1
ENSP00000320188		0	0	1	0
ENSP00000269373		1	0	0	0
ENSP00000358799		0	0	1	0
ENSP00000174618		1	1	1	0
ENSP00000247178		0	0	1	0
ENSP00000309031		1	1	1	1
ENSP00000317992		0	0	0	0
ENSP00000359506		0	1	1	1
ENSP00000253686		1	1	0	1
ENSP00000379339		1	1	1	1
ENSP00000356607		1	1	1	0
ENSP00000218197		0	1	0	0
ENSP00000376849		0	0	1	0
ENSP00000365439		0	1	1	0
ENSP00000247461		0	0	1	1
ENSP00000307567		1	0	0	0
ENSP00000310071		0	0	0	0
ENSP00000357799		0	0	0	0
ENSP00000355720		0	1	0	1
ENSP00000262585		1	1	0	1
ENSP00000295119		0	1	0	1
ENSP00000409581		0	0	0	1
ENSP00000262960		1	1	1	0
ENSP00000310572		0	0	0	0
ENSP00000438144		0	0	0	0
ENSP00000406490		0	0	1	0
ENSP00000456272		1	1	0	0
ENSP00000320949		1	0	0	0
ENSP00000315397		0	0	0	0
ENSP00000297071		0	0	1	1
ENSP00000401371		0	1	1	1
ENSP00000313869		0	0	0	0
ENSP00000362687		0	0	1	1
ENSP00000363590		0	0	1	0
ENSP00000341044		0	0	1	1
ENSP00000264451		1	0	0	1
ENSP00000233710		1	0	1	0
ENSP00000297135		0	1	0	1
