ID	init_fold
ENSP00000317992	62
ENSP00000353094	83
ENSP00000383719	78.7
ENSP00000413493	79.2
ENSP00000311766	122
ENSP00000368030	112.7
ENSP00000291386	93.8
ENSP00000464036	60.3
ENSP00000384442	48.3
ENSP00000302088	67.9
ENSP00000367727	42
ENSP00000367498	64.3
ENSP00000262450	98
ENSP00000367086	88
ENSP00000366934	60.4
ENSP00000340278	68.6
ENSP00000234590	57.9
ENSP00000366620	98.2
ENSP00000344503	66.7
ENSP00000294435	41
ENSP00000343001	46.7
ENSP00000263934	52.5
ENSP00000270776	41.5
ENSP00000366237	74.2
ENSP00000240185	76.3
ENSP00000366156	92.9
ENSP00000366135	55.6
ENSP00000346240	86.3
ENSP00000365944	83.6
ENSP00000319713	62.3
ENSP00000196061	62.3
ENSP00000235329	42.7
ENSP00000365370	47.2
ENSP00000365147	85.1
ENSP00000417748	86.4
ENSP00000364912	92.4
ENSP00000351209	102.3
ENSP00000364649	98.1
ENSP00000364582	80
ENSP00000364524	71.6
ENSP00000290597	51.7
ENSP00000364403	63.8
ENSP00000420608	51.1
ENSP00000364320	65.3
ENSP00000235835	46.3
ENSP00000264202	46.5
ENSP00000364188	89.9
ENSP00000312625	52.1
ENSP00000364028	83.4
ENSP00000309262	104.2
ENSP00000383042	91.5
ENSP00000363745	54.8
ENSP00000363676	49.7
ENSP00000395574	105
ENSP00000246151	101.2
ENSP00000363638	69.1
ENSP00000363621	72.7
ENSP00000363614	59.7
ENSP00000363603	58.2
ENSP00000420195	58.2
ENSP00000326261	67
ENSP00000363500	69.7
ENSP00000236273	43.5
ENSP00000363478	53.4
ENSP00000410452	67.4
ENSP00000270792	80.5
ENSP00000355228	52.8
ENSP00000435412	69.9
ENSP00000320485	97.9
ENSP00000340989	62.1
ENSP00000319664	82.2
ENSP00000363189	66.1
ENSP00000363054	75.5
ENSP00000363021	72.4
ENSP00000263697	28.9
ENSP00000335203	62
ENSP00000362948	66.1
ENSP00000362942	63.1
ENSP00000362937	52.4
ENSP00000294409	53.1
ENSP00000362918	62.1
ENSP00000345259	55.5
ENSP00000362900	92.1
ENSP00000391723	55.2
ENSP00000263694	42.9
ENSP00000344909	29.4
ENSP00000313829	70.3
ENSP00000362728	54.4
ENSP00000362711	55.5
ENSP00000362688	45.7
ENSP00000362649	57.6
ENSP00000362638	85.2
ENSP00000417677	30.2
ENSP00000362592	49.8
ENSP00000362576	81.7
ENSP00000349748	89.8
ENSP00000322915	72.2
ENSP00000348394	82.1
ENSP00000362334	66.1
ENSP00000362306	97.6
ENSP00000362300	91.2
ENSP00000362287	79.6
ENSP00000362273	73.5
ENSP00000346634	46.4
ENSP00000362208	98.9
ENSP00000362153	65.3
ENSP00000362136	97.4
ENSP00000362115	82.6
ENSP00000362110	62.9
ENSP00000362105	54.4
ENSP00000362092	99.7
ENSP00000380702	73
ENSP00000362058	57.1
ENSP00000354573	61.7
ENSP00000361949	95.2
ENSP00000361918	31.3
ENSP00000321810	49.7
ENSP00000361878	58.8
ENSP00000394863	99
ENSP00000361845	77
ENSP00000361803	93
ENSP00000399664	81.6
ENSP00000361699	45.5
ENSP00000361642	51.4
ENSP00000306614	39.6
ENSP00000361626	63.6
ENSP00000296388	66.8
ENSP00000416293	83.3
ENSP00000407323	47.9
ENSP00000353030	82.8
ENSP00000361473	63.5
ENSP00000312697	71
ENSP00000347548	58.4
ENSP00000361298	61.1
ENSP00000353575	70.4
ENSP00000361245	91.5
ENSP00000246337	65.1
ENSP00000361162	69.5
ENSP00000262746	59
ENSP00000312606	69.2
ENSP00000255120	58.5
ENSP00000354671	119.6
ENSP00000243167	100.7
ENSP00000360939	78.8
ENSP00000262662	60.1
ENSP00000360798	53
ENSP00000412733	43.5
ENSP00000346890	90.2
ENSP00000360718	58.6
ENSP00000360688	78.8
ENSP00000360664	65.8
ENSP00000360642	96.4
ENSP00000257177	35.1
ENSP00000360593	54.8
ENSP00000360569	85.8
ENSP00000360541	100.7
ENSP00000294360	48.4
ENSP00000360525	74.8
ENSP00000194214	59.8
ENSP00000354086	87.9
ENSP00000360329	74
ENSP00000294383	29.2
ENSP00000360290	67.1
ENSP00000360252	83.5
ENSP00000340742	24.5
ENSP00000360124	46.1
ENSP00000360120	112.4
ENSP00000383820	74.8
ENSP00000360034	77.7
ENSP00000360021	47.1
ENSP00000346829	49.9
ENSP00000359976	49.8
ENSP00000359958	59.6
ENSP00000359935	52.3
ENSP00000339399	52.6
ENSP00000409612	26.6
ENSP00000317473	38.6
ENSP00000333938	38.6
ENSP00000359804	60.8
ENSP00000322270	43.7
ENSP00000359688	31.6
ENSP00000359664	67.8
ENSP00000419417	40.9
ENSP00000284031	101.1
ENSP00000418744	34.8
ENSP00000359581	76.2
ENSP00000359579	42.6
ENSP00000359552	61.1
ENSP00000359531	63.3
ENSP00000260508	68
ENSP00000318415	54.2
ENSP00000340796	72.9
ENSP00000359356	24
ENSP00000359345	56.2
ENSP00000271234	59.4
ENSP00000411010	46.7
ENSP00000359258	104.7
ENSP00000359233	50.9
ENSP00000359225	64.5
ENSP00000304429	69.4
ENSP00000294724	38.6
ENSP00000359160	30.2
ENSP00000359151	28.5
ENSP00000260563	87.8
ENSP00000350278	22.6
ENSP00000391432	57.5
ENSP00000457733	88.5
ENSP00000359042	75.5
ENSP00000359025	36
ENSP00000349456	63.4
ENSP00000383599	67.1
ENSP00000234677	70
ENSP00000256637	86.4
ENSP00000271308	28.5
ENSP00000358867	75.6
ENSP00000358851	69.3
ENSP00000241337	40.2
ENSP00000311469	48.8
ENSP00000256594	74.8
ENSP00000358814	91.2
ENSP00000358799	73.2
ENSP00000256644	67
ENSP00000235090	82.5
ENSP00000358737	73.1
ENSP00000348786	42.1
ENSP00000358716	67.7
ENSP00000263168	70.7
ENSP00000350028	75.3
ENSP00000285735	66.9
ENSP00000358640	58.1
ENSP00000304604	88
ENSP00000351250	92.7
ENSP00000376957	34.3
ENSP00000358548	58.7
ENSP00000407724	36.9
ENSP00000310800	52.2
ENSP00000295598	62.6
ENSP00000321184	77.7
ENSP00000376899	92.6
ENSP00000358478	41.9
ENSP00000308179	41.7
ENSP00000235521	37.9
ENSP00000358417	60
ENSP00000439444	18.3
ENSP00000358262	61.1
ENSP00000393845	36.6
ENSP00000445831	34.8
ENSP00000333277	39.8
ENSP00000332790	45
ENSP00000358126	56.1
ENSP00000315379	60.2
ENSP00000358064	49.8
ENSP00000341743	60.5
ENSP00000271732	22.8
ENSP00000271640	71.7
ENSP00000357879	53
ENSP00000271715	74.1
ENSP00000271636	73.7
ENSP00000357836	96.7
ENSP00000357812	51.9
ENSP00000357804	101.2
ENSP00000357799	37.5
ENSP00000344822	74.1
ENSP00000355011	77.6
ENSP00000318641	95.5
ENSP00000357644	63.9
ENSP00000357564	65.2
ENSP00000357516	66.9
ENSP00000355343	34.9
ENSP00000329002	73.3
ENSP00000357459	90.8
ENSP00000357452	82.5
ENSP00000292180	45.3
ENSP00000357384	56.9
ENSP00000314508	66.9
ENSP00000307275	73.6
ENSP00000349078	84.9
ENSP00000357304	51.8
ENSP00000354837	63.1
ENSP00000357292	90.5
ENSP00000354376	55.5
ENSP00000357283	81.3
ENSP00000295688	61.3
ENSP00000271555	56.4
ENSP00000396441	39.5
ENSP00000357204	59.7
ENSP00000357189	58.5
ENSP00000357175	59.5
ENSP00000352138	68
ENSP00000357075	71
ENSP00000357069	75.8
ENSP00000354490	78.9
ENSP00000353660	72.5
ENSP00000318227	58.9
ENSP00000451235	66.2
ENSP00000357051	36.6
ENSP00000357048	56.7
ENSP00000289779	59.3
ENSP00000356989	85.8
ENSP00000356988	47.9
ENSP00000356982	62
ENSP00000356972	85.6
ENSP00000310219	83.3
ENSP00000356903	43.5
ENSP00000356859	45.3
ENSP00000346827	64
ENSP00000359540	63.9
ENSP00000356807	87.6
ENSP00000356789	76
ENSP00000343629	44.8
ENSP00000354920	62.2
ENSP00000342026	76.5
ENSP00000355086	53.9
ENSP00000251507	60.9
ENSP00000356652	64.2
ENSP00000420714	36.2
ENSP00000263733	43.4
ENSP00000356599	98.7
ENSP00000356584	40.2
ENSP00000393292	76.5
ENSP00000356579	71.8
ENSP00000307900	58.4
ENSP00000356520	52.8
ENSP00000258341	110.2
ENSP00000425133	94.1
ENSP00000352918	57.1
ENSP00000355299	98
ENSP00000235307	59.4
ENSP00000356481	68.9
ENSP00000356480	67.1
ENSP00000356476	100.9
ENSP00000356448	78.4
ENSP00000287859	53.8
ENSP00000356436	49.4
ENSP00000356425	84.8
ENSP00000356411	25.3
ENSP00000356405	75.3
ENSP00000356355	64
ENSP00000294740	80.9
ENSP00000356319	26.1
ENSP00000330460	60.4
ENSP00000351684	63.7
ENSP00000328494	71.1
ENSP00000345079	72.8
ENSP00000354742	86.4
ENSP00000295640	69.5
ENSP00000272217	88.7
ENSP00000356234	95.3
ENSP00000341785	74.5
ENSP00000356218	83.9
ENSP00000350310	61.6
ENSP00000333253	48.7
ENSP00000356155	56.8
ENSP00000356110	76.4
ENSP00000271764	63.4
ENSP00000356047	56.4
ENSP00000326813	62.7
ENSP00000316333	89.7
ENSP00000313875	72.2
ENSP00000419005	39.1
ENSP00000355968	98.3
ENSP00000355961	61.1
ENSP00000344352	70.2
ENSP00000294829	58.7
ENSP00000355927	102.8
ENSP00000355924	67.9
ENSP00000259154	102.2
ENSP00000355890	73.5
ENSP00000318852	62
ENSP00000351832	91.6
ENSP00000340900	62.4
ENSP00000343742	36.9
ENSP00000295006	95.6
ENSP00000316476	70.6
ENSP00000281701	63.7
ENSP00000420443	74.9
ENSP00000408108	110.8
ENSP00000272163	63.4
ENSP00000355809	73.5
ENSP00000305230	63.3
ENSP00000272167	59.2
ENSP00000355778	59.4
ENSP00000355777	71
ENSP00000329102	80.7
ENSP00000355759	80.1
ENSP00000355739	84.6
ENSP00000355731	41.9
ENSP00000440403	22.2
ENSP00000355721	98.1
ENSP00000272102	66.5
ENSP00000272139	94.4
ENSP00000355689	66.5
ENSP00000284551	70.6
ENSP00000355657	40.1
ENSP00000355645	74.8
ENSP00000261396	78.6
ENSP00000355632	104.4
ENSP00000312458	59.5
ENSP00000355607	55.2
ENSP00000355599	60.5
ENSP00000355587	50.2
ENSP00000355572	54.6
ENSP00000355568	61.5
ENSP00000264183	63.7
ENSP00000282841	39.2
ENSP00000355560	59.8
