Transcript_ID	Gene_ID	Biotype	Translated_sample_number	Transcribed_sample_number	Translated_samples	Transcribed_samples
ENST00000440174.1	ENSG00000077782.19	protein_coding	10	1	SRR935449,GSE48933,SRX870805,SRR970588,SRR1976447,SRR627625,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR931815
ENST00000453157.1	ENSG00000232485.2	antisense	1	3	SRR1630831	SRR1562542,SRR627620,SRR627621
ENST00000367153.8	ENSG00000186007.9	protein_coding	1	3	SRR3208870	SRR1562542,SRR1562543,SRR3680969
ENST00000503337.1	ENSG00000108846.15	retained_intron	3	1	SRR1573939,SRR970565,SRR970588	SRR1562543
ENST00000502694.1	ENSG00000080224.17	protein_coding	1	1	SRR3208864	SRR1042900
ENST00000454219.1	ENSG00000228084.1	antisense	1	9	SRR3208865	SRR1551155,SRR1562539,SRR1562542,SRR931815,SRR1976446,SRR627620,SRR627621,SRR627625,SRR810100
ENST00000457095.5	ENSG00000158423.16	protein_coding	2	6	SRR3208870,SRR3208871	SRR1562539,SRR1562543,SRR403889,SRR1042900,SRR627620,SRR627625
ENST00000435962.6	ENSG00000165929.12	protein_coding	3	3	SRX870805,SRR970561,SRR1630831	SRR1562539,SRR1562541,SRR3208898
ENST00000396662.5	ENSG00000122644.12	protein_coding	17	1	SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR3130941,SRR1758379,SRR3208871,SRR3208897,SRR3208898,SRR3680966,SRR3680968	SRR627620
ENST00000305031.4	ENSG00000198108.3	protein_coding	29	1	SRX474113,SRR1551155,SRR1562540,SRR1562541,SRR1562542,SRR935448,SRR935449,GSE48933,SRX870805,SRR403883,SRR403889,SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR627625,SRR810100,SRR3130940,SRR3130941,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000404542.5	ENSG00000172987.12	protein_coding	1	1	SRR1562543	SRR627620
ENST00000358268.6	ENSG00000157578.13	protein_coding	1	9	SRR1630831	SRR1551155,SRR1562539,SRR1562542,SRR1562543,SRR935448,SRR935449,SRR627620,SRR627625,SRR810100
ENST00000576943.1	ENSG00000263072.6	antisense	1	2	SRR970565	SRR627625,SRR1758378
ENST00000373631.7	ENSG00000148204.11	protein_coding	7	1	SRR1562543,SRR3208865,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3680967	SRR1173905
ENST00000582348.1	ENSG00000265148.5	antisense	1	2	SRR1803151	SRR1562539,SRR627621
ENST00000305352.6	ENSG00000170989.8	protein_coding	34	1	SRX474113,SRR1803151,SRR1803153,SRR1803186,SRR1803190,SRR1551155,SRR1562539,SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR935448,SRR935449,GSE48933,SRR1573939,SRX870804,SRX870805,SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976444,SRR627625,SRR810100,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000262717.8	ENSG00000101542.9	protein_coding	11	3	SRR1562540,SRR1562542,SRR1562543,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1173905,SRR935448,SRR1042900
ENST00000309383.5	ENSG00000160469.16	protein_coding	7	1	SRR1562541,SRR1562543,SRR1630831,SRR1758378,SRR3208871,SRR3208886,SRR3208897	SRR1173905
ENST00000606738.2	ENSG00000269113.3	protein_coding	12	3	SRR1551155,GSE48933,SRX870804,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1562542,SRR1562543,SRR1042900
ENST00000374271.8	ENSG00000175087.9	protein_coding	30	1	SRX474113,SRR1803147,SRR1803151,SRR1803153,SRR1803190,SRR1562540,SRR931815,SRX870804,SRX870805,SRR403883,SRR970490,SRR970538,SRR970565,SRR1976444,SRR1976446,SRR1976447,SRR1976448,SRR1630831,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680969	SRR627620
ENST00000448667.5	ENSG00000198556.13	protein_coding	17	2	SRR1803151,SRR1803188,GSE48933,SRR970490,SRR970561,SRR970588,SRR1976443,SRR1976447,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208885,SRR3208897,SRR3208898	SRR1562541,SRR627620
ENST00000489107.1	ENSG00000153714.5	processed_transcript	9	4	SRR970565,SRR1976445,SRR1976446,SRR1976447,SRR3208864,SRR3208865,SRR3208885,SRR3680966,SRR3680969	SRR1562542,SRR1562543,SRR627620,SRR3130940
ENST00000322139.4	ENSG00000179083.6	protein_coding	11	4	SRR1562540,SRR970490,SRR970538,SRR970565,SRR3130941,SRR3208864,SRR3208865,SRR3208871,SRR3208885,SRR3208897,SRR3208898	SRX474113,SRR1551155,SRX870805,SRR3680969
ENST00000519106.1	ENSG00000253958.1	protein_coding	3	1	SRR970565,SRR3680967,SRR3680969	SRR627621
ENST00000576842.1	ENSG00000263082.1	lincRNA	1	2	SRR970565	SRR1173905,SRR1562539
ENST00000375071.3	ENSG00000158825.5	protein_coding	18	5	SRR1551155,SRR1573939,SRR403883,SRR403889,SRR1042900,SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR3130940,SRR3130941,SRR1758378,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1562539,SRR1562543,SRR935448,SRR627620,SRR627621
ENST00000399387.8	ENSG00000186960.10	lincRNA	8	1	SRR1562540,SRX870804,SRX870805,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447	SRR1562543
ENST00000389175.8	ENSG00000144395.17	protein_coding	10	2	SRR1803190,GSE48933,SRR970561,SRR970588,SRR1976445,SRR1976447,SRR1630831,SRR1758378,SRR1758379,SRR3680967	SRR1562539,SRR1562542
ENST00000295549.8	ENSG00000163364.9	lincRNA	14	6	SRR935448,SRR1573939,SRX870805,SRR403889,SRR970490,SRR970538,SRR970561,SRR970565,SRR970588,SRR1630831,SRR3130940,SRR3130941,SRR1758378,SRR1758379	SRR1803151,SRR1562543,SRR1042900,SRR627620,SRR627621,SRR627625
ENST00000458125.5	ENSG00000233452.6	antisense	1	8	SRR3208885	SRR1551155,SRR403883,SRR403889,SRR970587,SRR1976443,SRR1976444,SRR1976445,SRR1976447
ENST00000269197.9	ENSG00000141431.9	protein_coding	6	1	SRX474113,SRR1562541,SRX870805,SRR3208870,SRR3208885,SRR3208897	SRR1042900
ENST00000257632.9	ENSG00000243566.6	protein_coding	1	4	SRR3680969	SRR1173905,SRR1562539,SRR1562543,SRR1910731
ENST00000261653.10	ENSG00000111450.13	protein_coding	40	1	SRX474113,SRR1551165,SRR1551155,SRR1562542,SRR935448,SRR935449,SRR1573939,SRX870805,SRR403883,SRR403889,SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR627625,SRR810100,SRR1630831,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680967,SRR3680968,SRR3680969	SRR1562541
ENST00000448811.1	ENSG00000138386.16	protein_coding	1	2	SRR970538	SRR1562541,SRR1507056
ENST00000423730.3	ENSG00000243501.5	nonsense_mediated_decay	3	2	SRX870805,SRR403889,SRR3208870	SRR627620,SRR627621
ENST00000554295.1	ENSG00000227825.4	processed_transcript	2	1	SRR970538,SRR970565	SRR1042900
