gene_ID	Manually_curation	lncORF	IRES	m6A	Mass_Spectrometry	Occupancy_of_Ribosomes
AC004158.3	0	0	0	0	0	0
AC004540.5	0	0	0	0	0	0
AC004870.4	0	0	0	0	0	0
AC005307.3	0	0	0	0	0	0
AC005355.2	0	0	0	0	0	0
AC005624.2	0	0	0	0	0	0
AC006262.4	0	0	0	0	0	0
AC006262.5	0	0	0	0	0	0
AC006273.5	0	0	0	0	0	0
AC006372.4	0	0	0	3	0	10
AC007383.3	0	0	0	4	0	0
AC007879.7	0	0	0	0	0	0
AC009236.2	0	0	0	0	0	0
AC009299.3	0	0	0	12	0	44
AC009404.2	0	0	0	0	0	0
AC009961.3	0	0	0	0	0	0
AC010894.3	0	3	0	38	0	63
AC016700.5	0	0	0	0	0	0
AC016757.3	0	0	0	0	0	0
AC021218.2	0	0	0	0	0	0
AC023137.2	0	0	0	0	0	0
AC058791.1	0	0	0	5	0	24
AC062028.1	0	14	4	4	0	81
AC068057.1	0	0	0	16	0	32
AC069277.2	0	0	0	0	0	0
AC073046.25	0	0	0	0	0	0
AC074363.1	0	0	0	0	0	0
AC092614.2	0	0	0	0	0	0
AC093901.1	0	0	0	0	0	0
AC096669.3	0	0	0	0	0	0
AC104654.1	0	0	0	0	0	0
AC104654.2	0	0	0	0	0	0
AC104820.2	0	0	0	0	0	0
AC108488.4	0	0	0	0	0	0
AC112721.2	0	1	0	2	0	3
AC156455.1	0	4	0	13	0	15
AJ006998.2	0	0	0	0	0	0
AL133493.2	0	0	0	0	0	0
AP001258.4	0	0	0	0	0	0
AP001432.14	0	0	0	0	0	0
AP006621.5	0	0	0	10	0	11
APCDD1L-AS1	0	0	0	0	0	0
APTR	0	4	3	44	0	156
ARRDC3-AS1	0	2	0	6	0	67
BISPR	0	37	0	35	0	95
C10orf91	0	8	0	11	0	13
C14orf132	0	0	0	0	0	0
C17orf100	0	0	0	0	0	0
C1orf140	0	0	0	0	0	0
C1orf229	0	7	1	7	0	10
C5orf66-AS1	0	4	0	5	1	5
C6orf99	0	8	1	5	0	30
CASC19	0	181	0	264	0	667
CASC9	0	2	0	41	1	47
CDC37L1-AS1	0	0	0	0	0	0
CECR7	0	0	0	0	0	0
CH17-340M24.3	0	0	0	0	0	0
CMB9-22P13.1	0	0	0	0	0	0
CRNDE	10	27	0	63	0	314
CTA-392C11.1	0	0	0	0	0	0
CTB-31O20.2	0	0	0	0	0	0
CTC-241N9.1	0	0	0	0	0	0
CTC-338M12.9	0	0	0	0	0	0
CTC-378H22.1	0	0	0	0	0	0
CTC-436P18.3	0	0	0	0	0	0
CTC-459F4.3	0	0	0	0	0	0
CTC-499B15.5	0	0	0	0	0	0
CTC-543D15.8	0	0	0	0	0	0
CTC-548K16.1	0	0	0	0	0	0
CTC-559E9.1	0	0	0	0	0	0
CTD-2003C8.2	0	0	0	0	0	0
CTD-2017D11.1	0	0	0	0	0	0
CTD-2023N9.3	0	0	0	0	0	0
CTD-2034I21.2	0	0	0	0	0	0
CTD-2066L21.3	0	0	0	0	0	0
CTD-2078B5.2	0	0	0	0	0	0
CTD-2139B15.5	0	0	0	0	0	0
CTD-2162K18.4	0	0	0	0	0	0
CTD-2231H16.1	0	0	0	0	0	0
CTD-2270P14.5	0	0	0	0	0	0
CTD-2291D10.4	0	0	0	0	0	0
CTD-2339F6.1	0	0	0	0	0	0
CTD-2357A8.3	0	0	0	0	0	0
CTD-2538C1.2	0	0	0	0	0	0
CTD-2553L13.10	0	0	0	0	0	0
CTD-2554C21.2	0	0	0	0	0	0
CTD-2555C10.3	0	0	0	0	0	0
CTD-2639E6.9	0	0	0	0	0	0
CTD-2666L21.1	0	0	0	0	0	0
CTD-3131K8.2	0	0	0	0	0	0
DANCR	0	3	0	10	0	17
DIO3OS	0	18	0	25	0	66
DKFZp434J0226	0	0	0	0	0	0
DNAJC3-AS1	0	0	0	0	0	0
DUBR	0	4	0	173	0	313
ELFN1-AS1	0	1	0	1	0	1
FENDRR	0	24	0	212	0	292
FGF14-AS2	1	2	0	4	0	5
FIRRE	0	9	1	55	1	307
FLJ22447	0	0	0	0	0	0
FLVCR1-AS1	0	0	0	0	0	0
FTX	0	32	27	620	0	0
GAS5	0	43	0	86	0	171
GMDS-AS1	0	0	0	0	0	0
GS1-124K5.4	0	0	0	0	0	0
GS1-259H13.2	0	0	0	0	0	0
HAGLROS	0	1	0	4	0	4
HIF1A-AS2	0	0	0	0	0	0
HRAT17	0	0	0	0	0	0
IQCH-AS1	0	1	1	84	1	180
KANTR	0	0	0	0	0	0
KB-1732A1.1	0	0	0	0	0	0
KB-1980E6.3	0	0	0	0	0	0
LA16c-325D7.2	0	0	0	0	0	0
LINC00092	0	0	1	0	0	85
LINC00152	0	0	0	0	0	0
LINC00158	0	7	0	27	0	157
LINC00161	0	0	0	0	0	16
LINC00162	0	0	0	0	0	0
LINC00176	0	0	0	0	0	0
LINC00239	0	3	0	3	0	3
LINC00265	0	10	2	31	0	112
LINC00322	0	1	0	3	0	4
LINC00346	0	7	2	46	0	54
LINC00355	0	5	2	28	0	41
LINC00452	0	7	0	6	0	26
LINC00461	0	30	0	211	0	611
LINC00467	0	8	2	150	0	189
LINC00471	0	2	0	10	0	18
LINC00472	0	2	0	53	1	228
LINC00473	0	0	0	0	0	0
LINC00507	0	1	3	0	0	395
LINC00511	0	12	0	502	0	832
LINC00592	0	0	0	30	0	74
LINC00619	0	0	0	0	0	0
LINC00630	0	8	0	4	3	153
LINC00632	0	14	3	183	6	612
LINC00643	0	0	0	0	0	0
LINC00645	0	0	0	0	0	109
LINC00657	0	0	0	0	0	0
LINC00662	0	9	3	534	1	960
LINC00667	33	11	0	604	0	874
LINC00672	0	0	0	0	0	0
LINC00702	16	1	0	153	0	0
LINC00704	0	0	0	0	0	0
LINC00706	0	2	0	2	0	8
LINC00707	0	4	1	29	0	99
LINC00839	0	10	0	63	0	123
LINC00844	0	2	1	0	0	127
LINC00847	0	11	0	208	1	239
LINC00857	0	8	0	45	0	66
LINC00877	0	7	0	76	0	289
LINC00909	0	8	0	82	0	127
LINC00926	0	6	0	24	4	35
LINC00941	0	0	0	4	0	4
LINC00958	0	7	0	104	0	140
LINC00960	0	0	0	24	2	71
LINC00963	0	28	44	560	2	606
LINC00973	0	2	0	2	0	4
LINC01003	0	5	0	7	0	9
LINC01006	0	9	0	76	0	298
LINC01007	0	6	0	0	0	28
LINC01011	0	6	0	18	0	33
LINC01012	0	0	0	0	0	0
LINC01021	0	0	0	0	0	0
LINC01089	0	13	0	55	0	63
LINC01102	0	10	0	6	0	0
LINC01105	0	0	0	0	0	0
LINC01114	0	10	0	4	0	33
LINC01116	0	3	0	25	0	30
LINC01119	0	17	0	29	0	48
LINC01122	0	2	1	14	0	0
LINC01128	0	24	0	136	7	0
LINC01133	0	6	0	15	0	35
LINC01138	0	7	0	74	0	125
LINC01186	0	1	0	3	0	17
